"strain"	"isotype"	"latitude"	"longitude"	"substrate"	"tbb-1_high_impact_SNV"	"ben-1_high_impact_SNV"	"tbb-2_high_impact_SNV"	"tbb-4_high_impact_SNV"	"mec-7_high_impact_SNV"	"tbb-1_SVs"	"tbb-1_SV_ids"	"ben-1_SVs"	"ben-1_SV_ids"	"tbb-2_SVs"	"tbb-2_SV_ids"	"tbb-4_SVs"	"tbb-4_SV_ids"	"mec-7_SVs"	"mec-7_SV_ids"	"tbb-1_var"	"ben-1_var"	"tbb-2_var"	"tbb-4_var"	"mec-7_var"	"tbb-1_clean_call"	"tbb-2_clean_call"	"ben-1_clean_call"	"mec-7_clean_call"	"tbb-4_clean_call"
"AF16"	"AF16"	23.03	72.56	"Soil"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"BRC20069"	"BRC20069"	25.04655556	121.6149472	"Rotting_nut/pod/seed/fruit"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"BRC20073"	"BRC20073"	25.04655556	121.6149472	"Rotting_nut/pod/seed/fruit"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"BRC20075"	"BRC20075"	24.790015	121.374604	"Rotting_flower"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"BRC20077"	"BRC20077"	24.793571	121.364232	"Compost"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"BRC20081"	"BRC20081"	24.602334	121.510549	"Compost"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"BRC20085"	"BRC20085"	24.794443	121.364029	"Compost"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"BRC20088"	"BRC20088"	25.15533333	121.5465611	"Rotting_nut/pod/seed/fruit"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"BRC20089"	"BRC20089"	25.15533333	121.5465611	"Rotting_nut/pod/seed/fruit"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"BRC20090"	"BRC20090"	24.744819	121.747742	"Compost"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"BRC20092"	"BRC20092"	25.016437	121.540237	"Rotting_flower"	NA	NA	"missense_E441A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"missense_E441A | NA"	"NA | NA"	"NA | NA"	"No variant"	"Missense"	"No variant"	"No variant"	"No variant"
"BRC20093"	"BRC20093"	23.94991389	121.5518917	"Rotting_flower"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"BRC20094"	"BRC20094"	25.015958	121.541761	"Rotting_nut/pod/seed/fruit"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"BRC20095"	"BRC20095"	24.74725	121.746266	"Vegetal_litter/mix"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"BRC20096"	"BRC20096"	25.04372222	121.6160639	"Compost"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"BRC20098"	"BRC20098"	25.04372222	121.6160639	"Compost"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
