"strain"	"isotype"	"latitude"	"longitude"	"substrate"	"abz_hta_2018_pheno"	"abz_hta_2018"	"abz_hta_2024_pheno"	"abz_hta_2024"	"abz_hta_norm_pheno"	"abz_hta_norm_res"	"abz_hta_2018_res"	"abz_hta_2024_res"	"ben-1_high_impact_SNV"	"tbb-2_high_impact_SNV"	"tbb-1_high_impact_SNV"	"mec-7_high_impact_SNV"	"tbb-4_high_impact_SNV"	"ben-1_SVs"	"ben-1_SV_ids"	"tbb-2_SVs"	"tbb-2_SV_ids"	"tbb-1_SVs"	"tbb-1_SV_ids"	"mec-7_SVs"	"mec-7_SV_ids"	"tbb-4_SVs"	"tbb-4_SV_ids"	"ben-1_var"	"tbb-2_var"	"tbb-1_var"	"mec-7_var"	"tbb-4_var"	"ben-1_exp"	"tbb-1_exp"	"tbb-2_exp"	"tbb-4_exp"	"mec-7_exp"	"low_ben1_exp"	"tbb-1_clean_call"	"tbb-2_clean_call"	"ben-1_clean_call"	"mec-7_clean_call"	"tbb-4_clean_call"
"AB1"	"AB1"	-34.93	138.59	"Soil"	-14.3818523126207	TRUE	20.5991021842449	TRUE	6.88051557316002	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.002263	8.561788	10.19763	-0.482573404337646	2.306739	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"BRC20067"	"BRC20067"	24.072954	121.169736	"Rotting_nut/pod/seed/fruit"	120.732511607697	TRUE	NA	FALSE	131.209184787567	TRUE	TRUE	NA	"frameshift_303"	NA	NA	NA	NA	"Deletion"	"DEL00767484"	NA	NA	NA	NA	NA	NA	NA	NA	"frameshift_303 | Deletion"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	2.526159	8.308625	10.0533	-0.334331875589193	3.101472	TRUE	"No variant"	"No variant"	"Deletion"	"No variant"	"No variant"
"BRC20263"	"BRC20263"	-33.86748611	151.2069889	NA	-47.7311380260603	TRUE	-27.3663570822978	TRUE	-33.7768569168311	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	3.426354	8.279093	10.06498	-0.761414751178902	2.661284	TRUE	"No variant"	"No variant"	"Low ben-1 expression"	"No variant"	"No variant"
"CB4852"	"CB4852"	NA	NA	NA	-11.4276052568318	TRUE	NA	FALSE	-0.950932076961926	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.694581	7.891664	9.73542	-1	3.547479	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"CB4854"	"CB4854"	34.189	-118.131	"Vegetal_litter/mix"	NA	FALSE	-26.821771759015	TRUE	-29.7546636641889	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"CB4856"	"CB4856"	21.33	-157.86	"Rotting_nut/pod/seed/fruit"	-46.6608766289012	TRUE	-35.6805388382527	TRUE	-37.398817096229	FALSE	FALSE	FALSE	"inframe_deletion_440DGDA>440A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"inframe_deletion_440DGDA>440A | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	3.953174	8.052991	9.875485	-0.416819764483079	2.312756	FALSE	"No variant"	"No variant"	"Inframe_deletion"	"No variant"	"No variant"
"CB4932"	"CB4932"	51.02	-3.1	"Fungus"	-10.7052451902403	TRUE	NA	FALSE	-0.228572010370426	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"CX11254"	"CX11254"	34.130138	-118.114835	"Soil"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.992688	8.281742	10.04246	-0.998190358926047	4.110341	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"CX11262"	"CX11262"	34.130138	-118.114835	"Soil"	-34.5531708038862	TRUE	NA	FALSE	-24.0764976240163	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.427025	8.189016	10.00366	0.315791327121132	3.446533	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"CX11264"	"CX11264"	34.130138	-118.114835	"Soil"	-39.7705566400325	TRUE	-35.9949427914558	TRUE	-34.1108590783962	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.697923	8.139478	9.791141	-0.662661692638594	4.007199	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
